Label,Artist,Id,Track,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Genre
Fast Car,Tracy Chapman,127,Fast Car Tracy Chapman,0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,103.951,296800,folk
Feel so Close - Radio Edit,Calvin Harris,128,Feel so Close - Radio Edit Calvin Harris,0.707,0.924,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,dance pop
If You Wanna,The Vaccines,129,If You Wanna The Vaccines,0.353,0.866,-3.274,0.0392,3.03e-05,3e-05,0.295,0.544,165.215,174013,indie rock
Iris,The Goo Goo Dolls,130,Iris The Goo Goo Dolls,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,alternative rock
Last Friday Night (T.G.I.F.),Katy Perry,131,Last Friday Night (T.G.I.F.) Katy Perry,0.652,0.812,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733,dance pop
Let Her Go,Passenger,132,Let Her Go Passenger,0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.243,74.897,252733,folk-pop
Mushaboom,Feist,133,Mushaboom Feist,0.731,0.523,-8.731,0.0335,0.302,0.00204,0.0672,0.837,88.756,224507,art pop
Payphone,Maroon 5,134,Payphone Maroon 5,0.739,0.756,-4.828,0.0394,0.0136,0.0,0.37,0.523,110.028,231387,pop
Story of My Life,One Direction,135,Story of My Life One Direction,0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,245493,boy band
Sweet Disposition,The Temper Trap,136,Sweet Disposition The Temper Trap,0.531,0.821,-6.812,0.0439,0.0701,0.171,0.124,0.34,129.139,230800,alternative dance
Teenage Dream,Katy Perry,137,Teenage Dream Katy Perry,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741,dance pop
Wake Me Up,Avicii,138,Wake Me Up Avicii,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,dance pop
Let It Go,Idina Menzel,139,Let It Go Idina Menzel,0.543,0.485,-6.85,0.0305,0.558,0.0,0.12,0.371,136.961,223840,hollywood
Better Together,Jack Johnson,140,Better Together Jack Johnson,0.868,0.347,-9.529,0.0536,0.308,2e-05,0.11,0.659,110.059,207680,neo mellow
Good Life,OneRepublic,141,Good Life OneRepublic,0.634,0.69,-7.804,0.052,0.0771,0.0,0.132,0.645,94.988,253307,dance pop
"Hey, Soul Sister",Train,142,"Hey, Soul Sister Train",0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,dance pop
Princess of China,Coldplay,143,Princess of China Coldplay,0.42,0.69,-6.221,0.0347,0.00385,0.015,0.287,0.237,85.014,239216,pop
The Only Exception,Paramore,144,The Only Exception Paramore,0.452,0.563,-6.607,0.0272,0.144,0.0,0.143,0.209,137.715,267653,candy pop
Whistle,Flo Rida,145,Whistle Flo Rida,0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,dance pop
"Dance, Dance",Fall Out Boy,146,"Dance, Dance Fall Out Boy",0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.452,180267,emo
Don't Stop Believin',Journey,147,Don't Stop Believin' Journey,0.5,0.748,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852,250987,album rock
Animals,Maroon 5,148,Animals Maroon 5,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,pop
